SUBFAMILY;TRIBE;GENUS HANDBOOK;SPECIES HANDBOOK;SP_reducido;HandbookSp;Sp;diet_Iris;diet_CVA
Sciurinae;Pteromyini;Hylopetes;winstoni;Hyl_win;Hylopetes winstoni;H.winstoni;NO_INF;NO_INF
Callosciurinae;Callosciurini;Hyosciurus;heinrichi;Hyo_hei;Hyosciurus heinrichi;H.heinrichi;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Hyosciurus;ileile;Hyo_ile;Hyosciurus ileile;H.ileile;Seeds_nuts;chew_crush
Xerinae;Marmotini;Ictidomys;mexicanus;Ict_mex;Ictidomys mexicanus;I.mexicanus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Ictidomys;parvidens;Ict_par;Ictidomys parvidens;I.parvidens;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Ictidomys;tridecemlineatus;Ict_tri;Ictidomys tridecemlineatus;I.tridecemlineatus;mixed_feeder;mixed_feeder
Sciurinae;Pteromyini;Iomys;horsfieldii;Iom_hor;Iomys horsfieldii;I.horsfieldii;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Iomys;sipora;Iom_sip;Iomys sipora;I.sipora;NO_INF;NO_INF
Callosciurinae;Callosciurini;Lariscus;hosei;Lar_hos;Lariscus hosei;L.hosei;NO_INF;NO_INF
Callosciurinae;Callosciurini;Lariscus;insignis;Lar_ins;Lariscus insignis;L.insignis;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Lariscus;niobe;Lar_nio;Lariscus niobe;L.niobe;NO_INF;NO_INF
Callosciurinae;Callosciurini;Lariscus;obscurus;Lar_obs;Lariscus obscurus;L.obscurus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Marmota;baibacina;Mar_bai;Marmota baibacina;M.baibacina;grazer;Grind
Xerinae;Marmotini;Marmota;bobak;Mar_bob;Marmota bobak;M.bobak;grazer;Grind
Xerinae;Marmotini;Marmota;broweri;Mar_bro;Marmota broweri;M.broweri;grazer;Grind
Xerinae;Marmotini;Marmota;caligata;Mar_cal;Marmota caligata;M.caligata;grazer;Grind
Xerinae;Marmotini;Marmota;camtschatica;Mar_cam;Marmota camtschatica;M.camtschatica;grazer;Grind
Xerinae;Marmotini;Marmota;caudata;Mar_cau;Marmota caudata;M.caudata;grazer;Grind
Xerinae;Marmotini;Marmota;flaviventer;Mar_fla;Marmota flaviventer;M.flaviventer;grazer;Grind
Xerinae;Marmotini;Marmota;himalayana;Mar_him;Marmota himalayana;M.himalayana;grazer;Grind
Xerinae;Marmotini;Marmota;katschenkoi;Mar_kat;Marmota katschenkoi;M.katschenkoi;grazer;Grind
Xerinae;Marmotini;Marmota;marmota;Mar_mar;Marmota marmota;M.marmota;grazer;Grind
Xerinae;Marmotini;Marmota;menzbieri;Mar_men;Marmota menzbieri;M.menzbieri;grazer;Grind
Xerinae;Marmotini;Marmota;monax;Mar_mon;Marmota monax;M.monax;grazer;Grind
Xerinae;Marmotini;Marmota;olympus;Mar_oly;Marmota olympus;M.olympus;grazer;Grind
